X,Y
1e-08,2.494861242365384
0.25,2.7195033410412615
0.5,2.904073063228662
0.75,3.047037868231355
1,3.1684550336511443
1.25,3.27515607330488
1.5,3.359075696986911
1.75,3.3951440205575047
2,3.304667689735112
2.25,2.0842062613647023
2.3,1.7003082069872537
3,-7.827891579523165
