mol3_W/R,mol3_li,mol3_lee,mol3_R/R0,mol3_Leff
1e-09,5.5,3.33,1.2751131172249208,4.313342813043809
1e-09,5.5,100,1.2318416723663659,4.464859505389608
1e-09,5.5,1,1.2980225604416076,4.237214488882854
1e-09,5.5,10,1.252035101829632,4.392848085459189
1e-09,5.5,33.3,1.2373002341699928,4.44516201331645
1e-09,5.5,0.0033,1.1049269639313009,4.977704571921338
1e-09,5.5,0.01,1.1573515878301872,4.752229191054593
1e-09,5.5,0.1,1.2750737728241648,4.313475908000235
1e-09,5.5,0.033,1.2236280489548343,4.494829948281949
1e-09,5.5,0.001,1.06409512329146,5.168710841364817
1e-09,5.5,0.333,1.3008786535246162,4.227911638874414
