r1_W/R,r1_li,r1_lee,r1_R/R0,r1_Leff
2,3,10000000000,2.9402678477458943,1.02031520777942
2,3,10000000000,3.036585967026094,0.9879516116377483
2,3,10000000000,3.036585967026094,0.9879516116377483
2,3,10000000000,3.4580360520878384,0.8675444543699038
2,3,10000000000,3.3915052217616393,0.8845629901291201
2,3,10000000000,2.6672710399639805,1.124745087788496
2.3,3,10000000000,1.8557394996990682,1.6166062103471357
2.3,3,10000000000,1.8557394996990682,1.6166062103471357
1e-08,3,10000000000,2.1316221062657896,1.4073789116662188
1e-08,3,10000000000,2.159427848543203,1.3892568821060012
2.3,3,10000000000,1.8854306803094611,1.5911483945448481
2.3,3,10000000000,1.9765842778401372,1.5177698384195257
2.3,3,10000000000,2.119253564089347,1.4155927590897384
2.3,3,10000000000,1.973006983932079,1.520521733795989
2.3,3,10000000000,1.8810902969278371,1.5948197728198088
6,3,10000000000,21.481515738869252,0.13965494970039366
6,3,10000000000,21.481515738869252,0.13965494970039366
6,3,10000000000,21.481515738869252,0.13965494970039366
6,3,10000000000,21.481515738869252,0.13965494970039366
1e-08,3,10000000000,2.453091746554106,1.2229465140120195
1e-08,3,10000000000,2.453091746554098,1.2229465140120235
1e-08,3,10000000000,2.194267120776949,1.367199085103985
1e-08,3,10000000000,2.2001984661300007,1.363513358536603
6,3,10000000000,-889.6192976494817,-0.0033722290061900476
2.3,3,10000000000,15.452663379380175,0.1941412898441287
2.3,3,10000000000,240.37361377675123,0.01248057119441684
2.3,3,10000000000,-87.55779299408525,-0.03426308381485424
2.3,3,10000000000,-56.455813179877396,-0.05313890334803101
2.3,3,10000000000,-43.93336914321092,-0.0682852250693729
2.3,3,10000000000,-40.244960399806686,-0.07454349489220544
2.3,3,10000000000,43.35046194212425,0.06920341481032427
2.3,3,10000000000,78.09206992648976,0.038416192614998984
2.3,3,10000000000,-18.81600100999115,-0.1594387669519694
2.3,3,10000000000,-8.562299617717091,-0.3503731630451715
2.3,3,10000000000,-0.1369098304295725,-21.912232237722503
2.3,3,10000000000,1.881703509614146,1.5943000502853752
