mol2_W/R,mol2_li,mol2_lee,mol2_R/R0,mol2_Leff
1e-09,5.5,33.3,1.2994880885724702,4.232435870991267
1e-09,5.5,3.33,1.356156355732701,4.0555795626002675
1e-09,5.5,100,1.2916274211088794,4.2581938956345295
1e-09,5.5,1,1.3927371279536205,3.949058217526858
1e-09,5.5,10,1.3210837607381116,4.163248511151979
1e-09,5.5,0.001,1.0677191416953975,5.151167367166167
1e-09,5.5,0.01,1.1803840066120213,4.659500610980226
1e-09,5.5,0.0033,1.1148057132054079,4.9335950963023105
1e-09,5.5,0.333,1.3969767421570416,3.9370734200682316
1e-09,5.5,0.033,1.2728292066028093,4.321082492033272
1e-09,5.5,0.1,1.3532338035909024,4.064338317152112
